Year,Position,Number,Draw,Name,Days-since-last-run,Previous-performances,Course-winner,Distance-winner,Odds(decimal),Form,Num-of-wins-in-last-3-starts,Result-last-start,Placed-Last-Time-Out,Won-Last-Time-Out,Age,Weight(pounds),Rating,Trainer,Jockey,Distances(lenghts),Going,Profitable
2021,2,7,1,Stradivarius (IRE),22,D,No,Yes,3.75,70-1411,2,1,Yes,Yes,7,128,121,J & T Gosden,L Dettori,,Soft,1
2021,3,13,11,Bubble Smart,27,C,Yes,No,26,782111,3,1,Yes,Yes,4,124,103,M Delzangles,G Mosse,,Soft,1
2021,4,6,3,Skazino (FR),41,C,Yes,No,12,451121,2,1,Yes,Yes,5,128,110,C E Rossi,M Barzalona,,Soft,1
2021,5,12,12,Princess Zoe (GER),50,CD,Yes,Yes,5,14-9422,0,2,Yes,No,6,124,114,A Mullins,J M Sheridan,,Soft,0
2021,6,10,10,Call The Wind,27,CD,Yes,Yes,26,213-03,0,3,Yes,No,7,128,108,F Head,O Peslier,,Soft,0
2021,7,3,7,Max La Fripouille (FR),37,,No,No,201,153150,1,10,No,No,9,128,85,Rod Collet,T Bachelot,,Soft,0
2021,8,2,5,Emperor Of The Sun (IRE),20,,No,No,41,315735,0,5,No,No,4,128,112,Donnacha O'Brien,G M Ryan,,Soft,0
2021,9,8,9,Alkuin (IRE),41,C,Yes,No,67,May-66,0,6,No,No,6,128,102,N Caullery,E Hardouin,,Soft,0
2021,10,4,13,Karlstad (FR),27,C,Yes,No,101,142252,0,2,Yes,No,6,128,104,P & J Brandt,M Guyon,,Soft,0
2021,11,11,2,Memphis (GER),55,,No,No,101,123411,2,1,Yes,Yes,4,124,101,R Dzubasz,B Murzabayev,,Soft,0
2021,12,1,8,Stratum,43,,No,No,26,20-1514,1,4,No,No,8,128,111,W P Mullins,C Demuro,,Soft,0
2021,13,5,4,Cacophonous,74,,No,No,201,-76330,0,10,No,No,6,128,84,Martina Havelkova,M Havelkova,,Soft,0
2020,1,9,5,Princess Zoe (GER),25,,No,No,3.5,2-21111,3,1,Yes,Yes,5,124,108,A Mullins,J M Sheridan,,Very Soft,1
2020,2,4,6,Alkuin (IRE),63,C,Yes,No,41,130-114,2,4,No,No,5,128,102,F Rossi,E Hardouin,,Very Soft,1
2020,3,5,1,Call The Wind,41,CD,Yes,Yes,2.25,22-1121,2,1,Yes,Yes,6,128,108,F Head,O Peslier,,Very Soft,1
2020,4,1,9,Windstoss (GER),27,,No,Yes,23,3-24234,0,4,No,No,6,128,107,Markus Klug,I Mendizabal,,Very Soft,0
2020,5,3,7,Cacophonous,451,,No,Yes,101,84/4837-,0,7,No,No,5,128,74,Martina Havelkova,M Havelkova,,Very Soft,0
2020,6,6,3,Barbados (IRE),20,,No,Yes,13,0-52324,0,4,No,No,4,128,111,Mrs J Harrington,L Dettori,,Very Soft,0
2020,7,8,8,Apadanah (GER),13,,No,Yes,101,516555,0,5,No,No,4,124,102,B Nedorostek,C Demuro,,Very Soft,0
2020,8,2,4,Sublimis (IRE),27,,No,Yes,7,1-22323,0,3,Yes,No,4,128,105,A Fabre,M Barzalona,,Very Soft,0
2020,9,7,2,Think Of Me (GER),27,,No,Yes,8,122-112,2,2,Yes,No,4,124,105,F Graffard,P C Boudot,,Very Soft,0
