Year,Position,Number,Draw,Name,Days-since-last-run,Previous-performances,Course-winner,Distance-winner,Odds(decimal),Form,Num-of-wins-in-last-3-starts,Result-last-start,Placed-Last-Time-Out,Won-Last-Time-Out,Age,Weight(pounds),Rating,Trainer,Jockey,Distances(lenghts),Going,Profitable
2019,9,1,5,French King,56,D,No,Yes,81,61111,3,1,Yes,Yes,4,131,,H A Pantall,O Peslier,4.5,Very Soft,0
2019,10,3,12,Ghaiyyath (IRE),35,C,Yes,No,8.5,1131,2,1,Yes,Yes,4,131,127,C Appleby,W Buick,2.5,Very Soft,0
2019,11,5,4,Blast Onepiece (JPN),49,D,No,Yes,51,41681,1,1,Yes,Yes,4,131,,M Otake,Y Kawada,0.05,Very Soft,0
2019,12,6,2,Fierement (JPN),49,,No,No,81,21213,1,3,Yes,No,4,131,,T Tezuka,C P Lemaire,15,Very Soft,0
2018,1,10,6,Enable,29,D,No,Yes,1.91,111111,3,1,Yes,Yes,4,128,128,J & T Gosden,L Dettori,0,Good to Soft,1
2018,2,19,15,Sea of Class (IRE),45,D,No,Yes,5,21111,3,1,Yes,Yes,3,121,118,W J Haggas,James Doyle,0.25,Good to Soft,1
2018,3,6,9,Cloth Of Stars (IRE),21,C,Yes,No,21,233643,0,3,Yes,No,5,131,117,A Fabre,V Cheminaud,0.75,Good to Soft,1
2018,4,5,13,Waldgeist,21,D,No,Yes,5,451111,3,1,Yes,Yes,4,131,122,A Fabre,P C Boudot,0.75,Good to Soft,1
2018,5,3,4,Capri (IRE),21,D,No,Yes,26,611015,1,5,No,No,4,131,118,A P O'Brien,D O'Brien,1.5,Good to Soft,1
2018,6,2,7,Salouen (IRE),42,,No,No,81,332343,0,3,Yes,No,4,131,114,S Kirk,Oisin Murphy,0.5,Good to Soft,1
2018,7,13,14,Kew Gardens (IRE),22,CD,Yes,Yes,8,291131,2,1,Yes,Yes,3,124,121,A P O'Brien,R L Moore,0.25,Good to Soft,0
2018,8,17,3,Nelson (IRE),22,,No,No,81,163567,0,7,No,No,3,124,106,A P O'Brien,M C Hussey,0.25,Good to Soft,0
2018,9,14,19,Study Of Man (IRE),22,,No,No,41,121135,1,5,No,No,3,124,115,P Bary,S Pasquier,0.25,Good to Soft,0
2018,10,18,16,Magical (IRE),22,,No,No,41,244414,1,4,No,No,3,121,111,A P O'Brien,W M Lordan,0.75,Good to Soft,0
2018,11,4,10,Way To Paris,21,,No,No,126,242364,0,4,No,No,5,131,116,A Marcialis,G Mosse,0.5,Good to Soft,0
2018,12,8,5,Tiberian (FR),42,D,No,Yes,101,704725,0,5,No,No,6,131,108,A Couetil,W Buick,0.75,Good to Soft,0
2018,13,7,8,Talismanic,21,D,No,Yes,21,121912,1,2,Yes,No,5,131,119,A Fabre,M Barzalona,4.5,Good to Soft,0
2018,14,12,2,Patascoy (FR),53,,No,No,34,131222,0,2,Yes,No,3,124,114,X Thomas Demeaulte,O Peslier,0.25,Good to Soft,0
2018,15,1,18,Defoe (IRE),35,BF,No,No,41,101132,1,2,Yes,No,4,131,117,R Varian,Andrea Atzeni,0.5,Good to Soft,0
2018,16,16,12,Hunting Horn (IRE),21,,No,No,41,361382,0,2,Yes,No,3,124,115,A P O'Brien,J A Heffernan,4.5,Good to Soft,0
2018,17,9,1,Clincher (JPN),21,,No,No,67,921336,0,6,No,No,4,131,116,H Miyamoto,Yutaka Take,2,Good to Soft,0
