Number,Rating,Num-of-wins-in-last-3-starts,Placed-Last-Time-Out,Won-Last-Time-Out,Odds(decimal),Result-last-start,Draw,Age,Course-winner,Profitable
5,,0,No,No,29,4,16,5,No,0
1,,1,Yes,No,11,2,8,4,No,0
14,,2,Yes,No,67,2,3,3,Yes,0
9,,2,Yes,Yes,29,1,12,3,No,0
12,,2,Yes,Yes,13,1,7,3,Yes,0
11,,2,Yes,Yes,15,1,5,3,No,0
13,126,1,No,No,7,5,8,3,No,1
7,,2,Yes,No,23,2,10,4,No,1
20,,2,Yes,No,13,3,3,3,Yes,1
14,,2,Yes,Yes,4.5,1,9,3,Yes,1
3,128,3,Yes,Yes,5.5,1,1,4,No,1
2,,1,Yes,Yes,51,1,17,4,No,1
19,,1,No,No,41,4,5,3,No,0
6,117,0,Yes,No,21,3,4,4,Yes,0
10,,0,Yes,No,151,3,20,5,No,0
1,117,0,Yes,No,13,3,12,7,No,0
17,,1,No,No,21,5,13,3,Yes,0
5,,0,No,No,101,6,6,4,No,0
15,119,2,Yes,Yes,12,1,11,3,No,0
8,,0,Yes,No,67,3,14,5,No,0
9,119,1,Yes,Yes,34,1,16,5,No,0
12,,2,Yes,No,26,2,15,4,Yes,0
18,112,0,Yes,No,41,2,18,3,No,0
4,,0,No,No,151,8,2,5,No,0
11,,2,No,No,0,6,19,5,No,0
18,,3,Yes,Yes,1.67,1,6,3,No,1
1,,0,Yes,No,21,3,1,6,No,1
16,,3,Yes,Yes,13,1,19,3,Yes,1
2,,1,Yes,Yes,9,1,12,4,No,1
10,,2,No,No,26,10,2,4,No,1
15,,1,Yes,No,7,2,10,3,No,1
12,,0,Yes,No,501,3,8,6,No,0
3,,2,Yes,No,15,2,9,4,No,0
4,,1,No,No,151,5,17,4,Yes,0
5,,0,No,No,251,5,19,4,No,0
6,,0,No,No,501,5,7,4,No,0
7,,2,Yes,Yes,34,1,3,6,Yes,0
8,,0,No,No,501,7,13,4,No,0
9,,1,No,No,251,5,4,4,No,0
11,,0,No,No,501,9,11,4,Yes,0
13,,0,Yes,No,17,2,15,3,Yes,0
14,,0,No,No,501,9,14,3,No,0
17,,1,No,No,301,4,5,3,No,0
19,,3,Yes,Yes,21,1,16,3,No,0
16,,3,Yes,Yes,2.63,1,1,3,Yes,1
1,,1,Yes,No,13,3,3,5,No,1
6,,1,Yes,No,5.5,2,9,4,No,1
9,,0,Yes,No,151,3,2,5,Yes,1
12,,3,Yes,Yes,8,1,8,3,Yes,1
3,,1,No,No,34,5,15,5,No,0
7,,3,Yes,Yes,5,1,14,4,Yes,0
11,,1,Yes,Yes,12,1,7,5,Yes,0
15,,2,Yes,Yes,151,1,16,3,No,0
5,,0,Yes,No,26,2,3,5,No,0
13,,3,Yes,Yes,26,1,12,3,No,0
8,,0,Yes,No,17,2,5,5,No,0
4,,2,Yes,No,34,2,10,5,No,0
14,,0,No,No,251,5,6,3,No,0
2,,1,Yes,Yes,51,1,11,4,Yes,0
10,,0,No,No,251,6,13,4,No,0
2,127,2,Yes,Yes,6.6,1,6,4,No,1
1,118,0,No,No,67,4,4,4,No,1
11,,0,Yes,No,34,2,11,3,No,1
5,,1,Yes,No,51,2,10,4,No,1
10,125,2,Yes,Yes,4.5,1,5,3,Yes,0
4,,3,Yes,Yes,26,1,2,4,No,0
6,,0,Yes,No,13,2,3,4,Yes,0
7,,1,Yes,No,6.6,3,8,3,No,0
3,113,1,Yes,No,151,3,1,4,No,0
12,128,2,Yes,Yes,2.1,1,12,3,No,0
9,117,1,No,No,151,6,9,3,No,0
8,106,0,No,No,301,6,7,3,No,0
5,,3,Yes,Yes,9,1,4,3,Yes,1
4,,2,Yes,No,12,3,5,6,Yes,1
1,,3,Yes,Yes,3.25,1,2,4,No,1
2,,1,Yes,No,3.5,2,1,4,No,0
8,,1,Yes,Yes,101,1,3,3,Yes,0
7,,2,Yes,Yes,126,1,7,3,No,0
6,,2,Yes,Yes,11,1,8,3,No,0
3,,3,Yes,Yes,3.75,1,6,5,Yes,0
13,,2,Yes,Yes,3.75,1,6,3,Yes,1
2,,2,Yes,No,17,3,4,6,Yes,1
5,,0,Yes,No,9,3,13,4,Yes,1
7,,2,Yes,No,26,3,15,4,No,1
12,,1,Yes,No,3.5,2,8,3,No,1
15,,3,Yes,Yes,4,1,1,3,Yes,0
8,,2,Yes,Yes,17,1,14,5,Yes,0
4,,1,Yes,Yes,51,1,2,7,No,0
1,,3,Yes,Yes,41,1,9,8,No,0
11,,2,Yes,Yes,11,1,10,3,Yes,0
6,,0,No,No,67,8,5,5,No,0
3,,0,No,No,29,5,11,4,No,0
9,,0,No,No,151,4,3,5,Yes,0
14,,1,Yes,Yes,251,1,7,3,No,0
10,,1,No,No,251,4,12,3,No,0
8,102,1,No,No,67,10,8,3,No,1
7,115,2,Yes,Yes,3,1,13,3,No,1
12,111,2,Yes,Yes,5,1,5,3,No,1
5,115,1,Yes,No,8.5,2,10,4,No,1
2,109,0,No,No,101,4,12,4,Yes,1
13,118,0,No,No,13,4,16,3,No,0
15,103,0,Yes,No,51,2,2,3,Yes,0
14,110,2,Yes,Yes,34,1,11,3,No,0
4,102,0,No,No,101,7,3,5,No,0
16,,0,No,No,81,6,1,3,No,0
3,107,0,Yes,No,13,2,9,5,No,0
6,,0,No,No,81,8,6,3,Yes,0
10,,0,No,No,34,6,7,3,Yes,0
9,,0,Yes,No,5,3,15,3,No,0
11,,0,Yes,No,151,2,14,3,No,0
1,108,1,Yes,No,11,2,4,5,No,0
11,110,0,Yes,No,17,3,14,3,No,1
1,116,2,Yes,Yes,6,1,7,5,No,1
4,103,0,No,No,41,4,12,6,No,1
5,117,0,Yes,No,5,2,3,5,No,1
3,113,1,Yes,No,7,3,6,4,No,0
